CONTENT,PREDICTED_CLASS
Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,SPAM COMMENT
guys please subscribe me to help my channel grow please guys﻿,SPAM COMMENT
Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,SPAM COMMENT
"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",SPAM COMMENT
PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,SPAM COMMENT
You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,SPAM COMMENT
Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,SPAM COMMENT
check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,SPAM COMMENT
Get free gift cards and pay pal money!﻿,SPAM COMMENT
What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,SPAM COMMENT
http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,SPAM COMMENT
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",SPAM COMMENT
Subscribe to me and I'll subscribe back!!!﻿,SPAM COMMENT
For Christmas Song visit my channel! ;)﻿,SPAM COMMENT
Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,SPAM COMMENT
Please subscribe to me﻿,SPAM COMMENT
http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,SPAM COMMENT
"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",SPAM COMMENT
OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,SPAM COMMENT
Subscribe to me plz plz plz plz plz plZ ﻿,SPAM COMMENT
http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,SPAM COMMENT
https://www.tsu.co/Aseris get money here !﻿,SPAM COMMENT
How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,SPAM COMMENT
subscribe to me :) ﻿,SPAM COMMENT
Still watching this 2 years later? ﻿,SPAM COMMENT
"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-﻿",SPAM COMMENT
"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿",SPAM COMMENT
"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",SPAM COMMENT
i hate this music. fucking singer and every koean chainise ana US sucks me dick.﻿,SPAM COMMENT
Still a very fun music video to watch! ﻿,SPAM COMMENT
"Hey everyone, I am a new channel and will post videos of book reviews and  music on the flute. Please subscribe if you would enjoy that. Thanks!﻿",SPAM COMMENT
"Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.﻿",SPAM COMMENT
subscribe my chanel﻿,SPAM COMMENT
Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿,SPAM COMMENT
I'm watching this in 2014﻿,SPAM COMMENT
Lol this youtuber (officialpsy) is getting so much money lol﻿,SPAM COMMENT
"If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.﻿",SPAM COMMENT
if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,SPAM COMMENT
YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!﻿,SPAM COMMENT
Hi guys my name is Dylan and I do IRL football videos I have 1030  subscribers and I think you guys would like my content so come check it out  and if you do subscribe!﻿,SPAM COMMENT
If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video! ﻿,SPAM COMMENT
If i reach 100 subscribers i will tazz my self and my friend﻿,SPAM COMMENT
im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,SPAM COMMENT
 I hate this song! ﻿,SPAM COMMENT
PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,SPAM COMMENT
Check out my Music Videos! and PLEASE SUBSCRIBE!!!! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,SPAM COMMENT
Limit sun exposure while driving. Eliminate the hassle of having to swing  the car visor between the windshield and window.  https://www.kickstarter.com/projects/733634264/visortwin﻿,SPAM COMMENT
Hey come check us out were new on youtube let us know what you think and  don't forget to subscribe thanks.﻿,SPAM COMMENT
"Hey guys can you check my YouTube channel I know you hate comments like  this one but I promise if you check my videos it will be entertaining I do  Shotgun Montages,Ninja Defuse Montages and Trolling please guys can you  check them out and thanks have a good day!!!!!!!﻿",SPAM COMMENT
"To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.﻿",SPAM COMMENT
"http://www.bing.com/explore/rewards?PUBL=REFERAFRIEND&amp;CREA=RAW&amp;rrid=_0f9fa8aa-243a-5c2f-c349-ede05ea397ca Bing rewards, earn free money. AND NO U CANT GET UR VIRUS IN BLUE!﻿",SPAM COMMENT
Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide! Don't miss out:  http://teespring.com/treechristmas﻿,SPAM COMMENT
Free my apps get 1m crdits ! Just click on the link and download a app and  done!! · Link: https://m.freemyapps.com/share/url/5af506e1﻿,SPAM COMMENT
I don't now why I'm watching this in 2014﻿,SPAM COMMENT
subscribe to me for call of duty vids and give aways Goal-100 subs﻿,SPAM COMMENT
i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic﻿,SPAM COMMENT
"Hey guys! Please join me in my fight to help abused/mistreated animals! All  fund will go to helping pay for vet bills/and or helping them find homes! I  will place an extra emphasis on helping disabled animals, ones otherwise  would just be put to sleep by other animal organizations. Donate please. http://www.gofundme.com/Angels-n-Wingz﻿",SPAM COMMENT
Hey everyone. Watch this trailer!!!!!!!!  http://believemefilm.com?hlr=h2hQBUVB﻿,SPAM COMMENT
"Subscribe pleaaaase to my instagram account , i'll subscribe back ♥  http://instagram.com/cyrine_ghorbel﻿",SPAM COMMENT
hey guys!! visit my channel pleaase (i'm searching a dream)﻿,SPAM COMMENT
Hey Guys this is Glamour Beauty! I just started my youtube channel please  go check it out! I'm going to post singing videos and also random videos  that I fell like! Please go to subscribe! More to come soon!. Remember to  subscribe!﻿,SPAM COMMENT
Hey guys! My mom said if i got 100 subs before christmas I'll get a kitten  and I always have wanted an kitten so please watch my videos and if you  like it subscribe or like :) Please no mean comments﻿,SPAM COMMENT
Take a break from Katie and help me reach 100 subscribers this month!  New  music and free downloads! ﻿,SPAM COMMENT
Subscribe me please﻿,SPAM COMMENT
Check out my covers I have a video coming out  please subscribe﻿,SPAM COMMENT
Subscribe to My CHANNEL﻿,SPAM COMMENT
Hey guys. I am a very small YouTuber I upload videos nearly every single  day. I once hope to be like shikas so can you please give 2 mins of your  life to view this channel. and my new video is on how to watch all the  anime for free. and I am pretty sure you wont regret visiting this channel. Thank you!﻿,SPAM COMMENT
http://www.rtbf.be/tv/emission/detail_the-voice-belgique/toutes-les-auditions/auditionDetail_?emissionId=3873&amp;id=342  Please join me to the voice Liked and shared it please to win more audition  score. Thanks so much﻿,SPAM COMMENT
katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?﻿,SPAM COMMENT
Hiya😊 I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿,SPAM COMMENT
Watch Maroon 5's latest 2nd single from V (It Was Always You) www.youtube. com/watch?v=TQ046FuAu00﻿,SPAM COMMENT
http://www.mediafire.com/download/yvovhafsv5qzzqo/Video.rar    download and  make money today ﻿,SPAM COMMENT
"Hello! I'm Marian, I'm a singer from Venezuela! I was part of a boy-girl band named cubik, and I'm now singing on my own  'cause I wanted to play my own pop and pop-rock songs.  It would mean a lot if you could have a look at my channel to check my  music and watch my new video!! and if u like, subscribe to it! XOXO THANKS!!  PS: if you like a lot my channel, you can share it with your friends!!  Haha!! LOL MARIAN﻿",SPAM COMMENT
"help me click on the subscribe Mai Nguyen, thank you﻿",SPAM COMMENT
The new Makeup Transformation with Integrated Look-A-Like Feature now  available in Ver 1.13! Do you know who you look like? Install or update  your version of Makeup Transformation  https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation  or visit Google Play.﻿,SPAM COMMENT
"  HI!:D!:) We’ re TWIN MELODY ,17 year old twins :) WE DID SOME COVERS!!WE DID A COVER OF BIRTHDAY BY KATY PERRY!!  PLEASE JUST TAKE 1 SECOND AND WATCH IT!! THANKS,MERCI,GRACIAS,DANKE,OBRIGADO,GRAZIE ….    !!!  &lt;3  XX HAVE A NICE DAY!!:D﻿",SPAM COMMENT
Follow me watch my videos :) Follow me watch my videos :) Follow me watch  my videos :) Follow me watch my videos :) Follow me watch my videos :)  Follow me watch my videos :) Follow me watch my videos :)﻿,SPAM COMMENT
Subscribe and u are gonna hear me roar ;)﻿,SPAM COMMENT
Click For iTunes code http://shhort.com/a?r=0LaviqU2b﻿,SPAM COMMENT
Katy perry is and inspirational singer her voice is awesome and I loved her  so much . She achieved music history and I couldn't believe that . Guys if  you could take 1min to go to my channel and watch my first video I would be  greatly thankful for this :) ty guys N katy is still awesome xoxo﻿,SPAM COMMENT
subscribe to me﻿,SPAM COMMENT
Can you check my videos please? Don't hate me :( Give me one oportunity﻿,SPAM COMMENT
"Hey guys!  Can you please SUBSCRIBE to my channel,because I'm gonna filming a video so  hope you guys like it and thank you so much for you're support! Xoxo,Leah!  &lt;3 ﻿",SPAM COMMENT
"Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world can’t measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ﻿",SPAM COMMENT
Katy has the voice of gold. this video really brings the lyrics to life. I  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nuts﻿,SPAM COMMENT
Watch my videos xx﻿,SPAM COMMENT
If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02﻿,SPAM COMMENT
Hey guys plz check out my youtube channel to c funny 2 girls 1 cup reaction  thanks and plz subscribe! Thanks﻿,SPAM COMMENT
Please subscribe every sub gets a shout out tell me what type of videos u  want and I will try make it happen﻿,SPAM COMMENT
Hey guys subscribe to my channel for no reason! Please!..﻿,SPAM COMMENT
Free itunes $25 giftcard codes: http://shhort.com/a?r=OOCnjqU2b﻿,SPAM COMMENT
subscribe please ﻿,SPAM COMMENT
My three bigger secrets are: I don't think I'm good enough for me skinny  size. I'm bisexual and I sweat really freaking bad when I'm nervous. -  check out Secret by Austin Mahone's NEW Single!﻿,SPAM COMMENT
katy is beautiful. and this song is catchy. I'm a rapper with 25000  subscribers.. thumbs up if you hate when you take a shit and the water  splashes your balls﻿,SPAM COMMENT
Hi everyone! My dream is to have passionate sex with Katy Perry. Some people do not believe in me…but maybe you will. Sex is a giant part of my life and it pushes me to be a better person! Please give me a chance by giving me a thumbs up! If you love my ambition please SUBSCRIBE!﻿,SPAM COMMENT
Katy perry songs aren't that bad ﻿,SPAM COMMENT
hi beaties! i made a new channel please go check it out and subscribe and  enjoy!﻿,SPAM COMMENT
DOWNLOAD RAPID FACEBOOK FOR FREE NOW https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid﻿,SPAM COMMENT
OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL  SUBSCRIBE﻿,SPAM COMMENT
https://www.paidverts.com/ref/tomuciux99 esyest money ever. join to our  team!!!!﻿,SPAM COMMENT
FREe ITunes Gift card http://shhort.com/a?r=x6J4gBrne﻿,SPAM COMMENT
"Every time I watch this mv I just so so so glad that I live in a world that  don't have to worry about running from a real, human eating tiger.﻿",SPAM COMMENT
i rekt ur mum last nite. cuz da haterz were 2 much 4 meh lik dis if u cri evertim and sponswer mi robox vidz https://www.indiegogo.com/projects/gimme-dem-moneyz-4-roblox/x/8851222#home﻿,SPAM COMMENT
"I love katy fashions tiger, care to visit my blog sinar jahitan  I also have the tiger collections tqvm﻿",SPAM COMMENT
"C'mon Katy you are so close to 14,000,000 subscribers...come up with  another hit like this and it will happen﻿",SPAM COMMENT
"My honest opinion. It's a very mediocre song. Nothing unique or special  about her music, lyrics or voice. Nothing memorable like Billie Jean or  Beat It. Before her millions of fans reply with hate comments, i know this  is a democracy and people are free to see what they want. But then don't I  have the right to express my opinion? Please don't reply with dumb comments  lie ""if you don't like it don't watch it"". I just came here to see what's  the buzz about(661 million views??) and didn't like what i saw. OK?﻿",SPAM COMMENT
Visit my channel﻿,SPAM COMMENT
"Hey guys, I was working last night on this project, it's a music streamer  like spotify, but it allows you to download the files to listen to when  you're offline. Opening it as a free beta, feel free to try it out :) download: https://mega.co.nz/#!ehVjzKyA!5bGKg2iWPHZOHWAEUesrWnegqG_lABcO7Rw9WFX8hAo﻿",SPAM COMMENT
"Man she is hot in this one, male companions visit my profile to check out  the coolest sextoy ever made!﻿",SPAM COMMENT
want to win borderlands the pre-sequel? check my channel :)﻿,SPAM COMMENT
Plz help me getting 1.000 Subscribers tonight/today.  Thanks to all who sub me :)﻿,SPAM COMMENT
Please Subscribe In My Channel →﻿,SPAM COMMENT
":: ATTENTION : WE NEED 10 Million Views More for FIREWORK to Reach 500M .. We have only 1 and half day left for katy's birtgday. Listen How it could be possible?? &gt;&gt;JUST Open different Tabs from Different Browser &gt;&gt;Dont Watch Full Video, Remember We dont have time on hand, Its Time Wasting. View it only for 30 sec. Plz thumbs up and share﻿",SPAM COMMENT
(( rapid facebook )) the free version of all colors and is characterized by  fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid﻿,SPAM COMMENT
Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,SPAM COMMENT
"Hey ! I know most people don't like these kind of comments &amp; see at spam,  but I see as free advertising . So please check out my cover of Sparks Fly  by Taylor Swift ! It is not the best ever I know, but maybe with some  encouraging words of wisdom from many of you I can become better! Please go  to my channel and check it out !﻿",SPAM COMMENT
I fucking hate her. Why? Because she don't write her songs she got  producers for that. Second why tha fack is she in every song almost nude  mayby because she's an attention hooker.﻿,SPAM COMMENT
Check out my drum cover of E.T. here! thanks -&gt;   /watch?v=NO9pOVZ9OIQ&amp;list=UUltuCDIHsDeI01by1OW7WuQ﻿,SPAM COMMENT
Sign up for free on TSU and start making money on social media add/follow  me and ill add follow you!! http://tsu.co/Roberts9010﻿,SPAM COMMENT
Subscribe me and i subscribe you back!!﻿,SPAM COMMENT
plz subscribe to my channel i need subs and if you do i will sub back i  need help﻿,SPAM COMMENT
http://minhateca.com.br/mauro-sp2013/Filmes+Series+Desenhos+Animes+Mp3+etc﻿,SPAM COMMENT
Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,SPAM COMMENT
Such a good song ans Katy sounds great over the melody. Im growing as an  artist everyday from my hit song 'CRAZY' which has got my name out there.  cant thank my fans more for their support. If you could take a moment? to  check it and my music? maybe you'll join me to make my dream come true :)  thank you for your time﻿,SPAM COMMENT
"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",SPAM COMMENT
"Hey Guys, I know you tend to skip these comments, but Take a look first.  I am Free Fire, A Big Room, Progressive House, Deep House, Dubstep &amp;  Chillstep Producer from a small town in Missouri. Down here, I have no  support from the community, and all I really ask is some critiquing,  Support, and Views.   My Music has gotten much better then what it was 10 months ago, and I  promise my new content should be more then satisfying. Soon I should be  able to advertise and I wont pester you guys anymore.  So gimme a chance and check out my music, thanks and god bless.﻿",SPAM COMMENT
For latest movies 2014 please visit this site  http://www.networkedblogs.com/p/11cPWb?ref=panorama﻿,SPAM COMMENT
I love that you subscribed﻿,SPAM COMMENT
https://www.tsu.co/ToMeks Go register ;) free money;)﻿,SPAM COMMENT
"great song, but we all know that Katy buys her views..﻿",SPAM COMMENT
♫I know someone will see this ♥ I have a dream… I don’t have the greatest videos or the best quality Right now I feel like i'm not getting anywhere and I need your help ♫ If you could possibly watch my videos it means the world to me ♥ Please thumbs this up so others can see… I appreciate it so much ♥♫ Please listen before you hate. Honestly i  appreciate it so much  You don’t have to love me just give this 17 year old a chance﻿,SPAM COMMENT
"https://apps.facebook.com/my-polls/utsitcompetition2014?from=user_link&amp;ref_id=ouxg5e .  Please open this link and vote for  anand niketan international school, the  project name is project Fr-e-dom and share it with  yours friend.﻿",SPAM COMMENT
I hate videos like these with those poor animals.﻿,SPAM COMMENT
curti? click here ?  https://www.facebook.com/demiilovatofas?ref=hl   https://www.facebook.com/pages/Frases-Secretas/448800865296855?ref=hl﻿,SPAM COMMENT
http://www.ermail.pl/dolacz/UnNfY2I=                  Please click on the  link﻿,SPAM COMMENT
Please subscribe to us and thank you﻿,SPAM COMMENT
"<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=2m19s"">2:19</a> best part﻿",SPAM COMMENT
"Hey guys, I&#39;m a human.<br /><br /><br />But I don&#39;t want to be a human, I want to be a sexy fucking giraffe.<br /><br /><br />I already have the money for the surgery to elongate my spinal core, the surgery to change my skin pigment, and everything else! Like this post so others can root me on in my dream!!!!<br /><br /><br />Im fucking with you, I make music, check out my first song! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23giraffebruuh"">#giraffebruuh</a>﻿",SPAM COMMENT
Thumbs up if you watched it in 2011﻿,SPAM COMMENT
"This Will Always Be My Favorite Song<br />But My Favorite Part Is <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m40s"">3:40</a>-<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=4m11s"">4:11</a> In The Video ﻿",SPAM COMMENT
"Support the fight for your 4th amendment right to privacy in your home and business. Stop the NSA spying on Americans with the un Patriot Act Renewal. Rand Paul has spent 10.5 hours on the Senate floor in a Protest and Filibuster fighting for our  Constitution that this Nation is founded on. Join the fight at Rand Paul dot com. Spread The Word. We Have Someone That Cares About Our Nation.  Email your Senators, Congress men and women, tell them to support Rand. Tell the news to support Rand too. Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=1m00s"">1:00</a> am this morning fighting for our Constitution.﻿",SPAM COMMENT
"mindblowing dance.,.,.superbbb song﻿",SPAM COMMENT
I know it old song but (like) if you watching in 2015﻿,SPAM COMMENT
i&#39;m watching this on summer 2015﻿,SPAM COMMENT
I&#39;m A SUBSCRIBER﻿,SPAM COMMENT
"okay, this should cover me for some time... Thumbs up if you&#39;re watching while youtube still exists.﻿",SPAM COMMENT
like if ur watchin in 90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                                              1﻿,SPAM COMMENT
Thumbs up if you&#39;re watching in 2015﻿,SPAM COMMENT
I hate it when Laura Bennett comes in﻿,SPAM COMMENT
SUBSCRIBE TO MY CHANNEL﻿,SPAM COMMENT
XD I WAS GOING CRAZY FUCKIN CRAZY WATCHIN THIS BRAH﻿,SPAM COMMENT
sorry to all my haters<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />for party rock en﻿,SPAM COMMENT
Do not like this comment if you are not watching in 2004﻿,SPAM COMMENT
subscribe me plzzzzzzz plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz﻿,SPAM COMMENT
"YouTube collaborator&#39;s anyone? subscribe to me, I&#39;ll subscribe back. I also will start uploading more YouTube videos.  <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23LMFAO"">#LMFAO</a>﻿",SPAM COMMENT
Guys lmfaois going to have a reunion on June/27/15 at expo Idaho gardens there going 2 performe live and there&#39;s going 2 be a press conference after to answer questions about were there been its all live on my channel I got publishing rights subscribe to my channel to watch the whole thing if u don&#39;t believe me look it up hope to see all u true fans there and yes it&#39;s free ﻿,SPAM COMMENT
